,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category_в пределах города,fromcenter_category_область,fromcenter_category_самый центр,fromcenter_category_центр
11231,4299000.0,33.0,1,2.75,22.0,18.0,5,False,False,False,6.5,0,9258.0,10592.0,1.0,458.0,0.0,5000.0,45,130272,True,False,False,False
11232,4100000.0,45.5,2,2.57,9.0,27.0,7,False,False,False,6.2,0,36627.0,11088.0,0.0,5000.0,1.0,908.0,35,90109,True,False,False,False
11233,9975000.0,61.3,2,2.75,24.0,33.0,12,False,False,False,12.0,0,10663.0,12738.0,0.0,5000.0,0.0,5000.0,330,162724,True,False,False,False
11234,4670000.0,47.13,1,2.8,25.0,24.83,8,False,False,False,11.3,2,40941.0,9632.0,3.0,641.0,0.0,5000.0,164,99087,True,False,False,False
11239,9998000.0,65.6,2,4.1,4.0,33.0,3,False,False,False,9.0,0,24437.0,4269.0,0.0,5000.0,1.0,682.0,589,152408,False,False,False,True
11241,7685993.0,75.1,2,2.7,10.0,40.4,9,False,False,False,14.0,0,23639.0,5164.0,0.0,5000.0,1.0,756.0,45,102343,True,False,False,False
11243,7200000.0,56.3,2,3.0,5.0,36.3,5,False,False,False,8.1,1,11893.0,9650.0,1.0,437.0,3.0,476.0,60,127886,True,False,False,False
11244,4250000.0,32.0,1,2.68,2.0,20.0,2,False,False,False,7.0,0,72713.0,59052.0,3.0,148.0,1.0,671.0,24,132812,False,True,False,False
11245,9133890.0,87.69,3,2.75,25.0,42.0,5,False,False,False,14.31,0,7016.0,13230.0,1.0,731.0,0.0,5000.0,719,104161,True,False,False,False
11246,2100000.0,39.0,1,2.68,9.0,19.0,5,False,False,False,11.0,0,18399.0,29646.0,0.0,5000.0,0.0,5000.0,372,53846,False,True,False,False
11247,6100000.0,72.0,3,2.65,12.0,44.4,9,False,False,False,8.1,0,33080.0,11357.0,0.0,5000.0,0.0,5000.0,0,84722,True,False,False,False
11249,3880000.0,37.4,1,2.5,14.0,21.3,12,False,False,False,7.8,0,43961.0,16464.0,0.0,5000.0,0.0,5000.0,233,103743,True,False,False,False
11251,13000000.0,91.0,3,2.8,25.0,45.5,24,False,False,False,12.5,0,51340.0,15363.0,0.0,5000.0,1.0,853.0,178,142857,True,False,False,False
11252,2800000.0,44.0,2,2.6,5.0,28.0,1,False,False,False,6.0,0,24332.0,30119.0,1.0,610.0,0.0,5000.0,74,63636,False,True,False,False
11253,4750000.0,36.2,1,2.75,6.0,15.5,6,False,False,False,9.5,2,10638.0,12082.0,1.0,392.0,1.0,657.0,679,131215,True,False,False,False
11254,2710000.0,34.0,1,2.8,5.0,18.0,4,False,False,False,8.0,0,53042.0,22968.0,0.0,5000.0,3.0,282.0,45,79705,False,True,False,False
11255,4600000.0,36.4,1,2.8,17.0,17.8,11,False,False,False,10.8,0,12537.0,13777.0,1.0,48.0,0.0,5000.0,98,126373,True,False,False,False
11257,8600000.0,90.0,3,2.6,16.0,55.5,12,False,False,False,8.5,3,21297.0,14515.0,1.0,835.0,2.0,839.0,20,95555,True,False,False,False
11258,4100000.0,41.0,1,2.68,25.0,16.3,16,False,False,False,14.5,2,52726.0,18900.0,0.0,5000.0,0.0,5000.0,99,100000,False,True,False,False
11260,2700000.0,32.5,1,2.75,12.0,14.3,11,False,False,False,7.4,0,31552.0,12062.0,0.0,5000.0,0.0,5000.0,162,83076,True,False,False,False
11261,5600000.0,62.6,2,2.75,15.0,37.9,5,False,False,False,10.0,5,27105.0,8919.0,0.0,5000.0,0.0,5000.0,60,89456,True,False,False,False
11262,3759000.0,36.0,1,2.7,17.0,16.0,13,False,False,False,11.0,0,36080.0,12409.0,1.0,391.0,2.0,442.0,356,104416,True,False,False,False
11263,22200000.0,77.0,2,2.75,8.0,41.6,3,False,False,False,15.0,0,26398.0,7359.0,3.0,257.0,2.0,566.0,155,288311,True,False,False,False
11264,3750000.0,49.0,4,2.75,5.0,38.0,4,False,False,False,5.0,0,10266.0,11802.0,0.0,5000.0,0.0,5000.0,99,76530,True,False,False,False
11265,2695000.0,30.0,1,2.5,5.0,16.0,3,False,False,False,7.0,0,21973.0,14703.0,0.0,5000.0,0.0,5000.0,83,89833,True,False,False,False
11268,4500000.0,45.0,1,2.8,16.0,20.1,9,False,False,False,12.2,2,13839.0,15091.0,0.0,5000.0,1.0,140.0,129,100000,True,False,False,False
11270,2450000.0,35.0,1,2.68,14.0,20.0,5,False,False,False,7.0,0,25618.0,31404.0,0.0,5000.0,0.0,5000.0,8,70000,False,True,False,False
11271,4550000.0,39.0,1,2.75,10.0,17.0,5,False,False,False,10.5,0,15985.0,15381.0,1.0,933.0,0.0,5000.0,53,116666,True,False,False,False
11272,4750000.0,55.0,2,2.65,16.0,32.0,1,False,False,False,10.5,0,38854.0,14137.0,0.0,5000.0,0.0,5000.0,1057,86363,True,False,False,False
11273,8990000.0,113.9,4,2.75,8.0,70.4,3,False,False,False,12.0,0,17674.0,16470.0,1.0,398.0,2.0,563.0,653,78928,True,False,False,False
11274,15300000.0,87.4,3,2.75,15.0,52.4,8,False,False,False,12.3,0,37593.0,13114.0,1.0,570.0,3.0,502.0,0,175057,True,False,False,False
11276,6200000.0,98.0,4,2.8,9.0,68.5,7,False,False,False,11.0,5,25413.0,28837.0,0.0,5000.0,0.0,5000.0,247,63265,False,True,False,False
11279,14500000.0,97.0,3,2.75,14.0,53.3,2,False,False,False,17.7,2,39660.0,12480.0,1.0,130.0,0.0,5000.0,242,149484,True,False,False,False
11283,5700000.0,56.0,2,2.75,12.0,35.0,6,False,False,False,9.0,0,31125.0,8418.0,0.0,5000.0,2.0,474.0,33,101785,True,False,False,False
11286,4900000.0,64.0,3,2.5,9.0,39.6,1,False,False,False,10.0,0,12471.0,15062.0,0.0,5000.0,1.0,861.0,238,76562,True,False,False,False
11287,4399000.0,63.4,2,2.6,9.0,35.7,4,False,False,False,10.3,0,23177.0,28963.0,0.0,5000.0,1.0,1050.0,26,69384,False,True,False,False
11288,3000000.0,33.4,1,2.68,10.0,16.0,4,False,False,False,9.0,0,27223.0,33009.0,1.0,2131.0,2.0,209.0,32,89820,False,True,False,False
